timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,Latency
1439447979080,21008,Whole CPI-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448000091,21367,Whole CPI-Reward (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448021464,21002,WholeCPI-Sweepstake (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448042473,20997,CPI After Reward Cost-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448063478,21003,CPI After Reward Cost-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448084488,21003,CPI After Reward Cost-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448105499,21009,CPI After Reward Cost-Show (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448126516,20999,CPI After Reward Cost-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448210896,20999,Fixed CPI-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448231899,20997,Fixed CPI-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448252902,21009,Fixed CPI-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448273916,21001,Whole CPI-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448294921,21007,Whole CPI-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448315935,21003,Whole CPI-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448336942,21007,Whole CPI-Show (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448357959,21001,Whole CPI-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448378967,21002,Whole CPI-Reward (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448399975,21006,WholeCPI-Sweepstake (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448420988,21006,CPI After Reward Cost-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448442000,21003,CPI After Reward Cost-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448463010,20999,CPI After Reward Cost-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448484017,21004,CPI After Reward Cost-Show (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448505023,20996,CPI After Reward Cost-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448526023,21005,CPI After Reward Cost-Reward (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448547032,21002,CPI After Reward Cost-Sweepstake (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448568038,21008,First CPI (Whole),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448589051,21000,Sweepstake-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448610057,21000,First CPI (CPI after reward cost),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448631065,21390,Sweepstake-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448652459,20993,Manual CPI- Fixed CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448673463,21006,Manual CPI- Whole CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448694473,21005,Manual CPI-CPI After Reward Cost-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448715481,20995,Publisher Virtual Currency,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448736480,20996,Disable Dashboard- Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448757481,21003,Disable Dashboard- Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439448778489,20998,Publisher Category- Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
