timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Filename,Latency
1439448673463,21006,Manual CPI- Whole CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448694473,21005,Manual CPI-CPI After Reward Cost-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448715481,20995,Publisher Virtual Currency,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448736480,20996,Disable Dashboard- Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448757481,21003,Disable Dashboard- Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448778489,20998,Publisher Category- Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448799492,20995,Publisher Category- Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448820492,20997,Site Virtual Currency,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448841493,21009,Private Panel - Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448862506,21007,Private Panel- Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448883522,20997,Incentive Grid 5-10 minutes,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448904521,21007,Incentive grid 21-30 minutes,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439448925540,2486,Vindale Load member surveys,200,OK,Thread Group 1-1,text,true,3196,,2486
1439449557795,21333,Fixed CPI-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449579131,21002,Fixed CPI-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449600136,21002,Fixed CPI-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449621138,20993,Whole CPI-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449642136,21005,Whole CPI-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449663144,21006,Whole CPI-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449684153,21004,Whole CPI-Show (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449705161,21002,Whole CPI-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449726167,21002,Whole CPI-Reward (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449747172,21011,WholeCPI-Sweepstake (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449768186,21357,CPI After Reward Cost-Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449789548,21004,CPI After Reward Cost-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449810556,21009,CPI After Reward Cost-Reward,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449831569,21004,CPI After Reward Cost-Show (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449852576,21009,CPI After Reward Cost-Hide (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449873588,21006,CPI After Reward Cost-Reward (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449894599,21003,CPI After Reward Cost-Sweepstake (US),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449915604,20996,First CPI (Whole),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449936602,21001,Sweepstake-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449957607,20999,First CPI (CPI after reward cost),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449978607,21008,Sweepstake-Hide,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439449999620,21004,Manual CPI- Fixed CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439450020631,21006,Manual CPI- Whole CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,Thread Group 1-1,text,false,2092,,0
1439450962083,3097,Vindale Load member surveys,200,OK,Thread Group 1-1,text,true,4124,,3097
1439455106062,3013,Fixed CPI-Show,200,OK,Thread Group 1-1,text,false,411,,3013
1439455109077,918,Fixed CPI-Hide,200,OK,Thread Group 1-1,text,true,1442,,918
1439455109997,612,Fixed CPI-Reward,200,OK,Thread Group 1-1,text,true,1442,,612
1439455110622,1168,Whole CPI-Show,200,OK,Thread Group 1-1,text,true,830,,1168
1439455111792,980,Whole CPI-Hide,200,OK,Thread Group 1-1,text,true,830,,980
1439455112774,506,Whole CPI-Reward,200,OK,Thread Group 1-1,text,true,830,,506
